"A-Train - Trains, Power, Money (USA) (En,Ja,Fr,De)","A.IV - Evolution Global (Europe) (En,Ja,Fr,De)",,,
Action Man - Operation Extreme (USA),"Action Man - Mission Xtreme (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi) (No EDC)",,,
"Adventures of Lomax, The (USA)","Lomax (Europe) (En,Fr,De,Es,It)",,,
"Alexi Lalas International Soccer (USA) (En,Fr,De,Es,It)","Three Lions (UK) (En,Fr,De,Es,It)",,,
All-Star Slammin' D-Ball (USA),Super Slammin' Dodgeball (Europe),,,
Alone in the Dark - One-Eyed Jack's Revenge (USA),"Alone in the Dark - Jack Is Back (Europe) (En,Fr,De,Es,It)",,,
Army Men - Green Rogue (USA),"Army Men - Omega Soldier (Europe) (En,Fr,De,Es,It)",,,
Army Men - World War - Final Front (USA),"Army Men - Lock 'n' Load (Europe) (En,Fr,De,Es,It)",,,
"Army Men - World War - Land, Sea, Air (USA)","Army Men - Land, Sea, Air (Europe) (En,Fr,De,Es,It)",,,
Army Men - World War - Team Assault (USA),"Army Men - Team Assault (Europe) (En,Fr,De,Es,It)",,,
Army Men - World War (USA),"Army Men - Operation Meltdown (Europe) (En,Fr,De,Es,It)",,,
"Asterix (Europe) (En,Fr,Es,It)","Asterix (Europe) (En,Fr,De,Nl)",,,
Backyard Soccer (USA),Junior Sports Football (Europe),,,
Ball Breakers (USA),"MoHo (Europe) (En,Fr,De,Es,It)",,,
Ballerburg - Castle Chaos (USA),Ballerburg (Europe),,,
Batman Beyond - Return of the Joker (USA),"Batman of the Future - Return of the Joker (Europe) (En,Fr,De)",,,
Battle Hunter (USA),"Hunter, The (Europe)",,,
Big Ol' Bass 2 (USA),Fisherman's Bait 3 (Europe),,,
Bloody Roar (USA),Bloody Roar - Hyper Beast Duel (Europe),,,
Bloody Roar II (USA),Bloody Roar 2 - Bringer of the New Age (Europe),,,
Bogey - Dead 6 (USA),"Raging Skies (Europe) (En,Fr,De)",,,
Bomberman - Party Edition (USA),Bomberman (Europe),,,
Boxing (USA),All Star Boxing (Europe),,,
Brahma Force - The Assault on Beltlogger 9 (USA),Brahma Force (Europe),,,
Bravo Air Race (USA),Air Race (Europe),,,
Breakout (USA),"Breakout - A Story of Bat Meets Ball...! (Europe) (En,Fr,De,It)",,,
Brian Lara Cricket (Europe),Shane Warne Cricket (Australia),,,
Builder's Block (USA),Land Maker (Europe),,,
Bust A Groove (USA),"Bust-A-Groove (Europe) (En,Fr,De,Es,It)",,,
Bust-A-Move '99 (USA),Bust-A-Move 3 DX (Europe),,,
Buster Bros. Collection (USA),Super Pang Collection (Europe),,,
Capcom vs. SNK Pro (USA),Capcom vs. SNK - Millennium Fight 2000 Pro (Europe),,,
Car and Driver Presents - Grand Tour Racing '98 (USA),"Total Drivin (Europe) (En,Fr,De,Es,It,Pt)",,,
Cleopatra's Fortune (USA),Cleopatra Fortune (Europe),,,
Codename - Tenka (USA) (v1.1),Lifeforce Tenka (Europe),,,
Contender (USA),Victory Boxing Contender (Europe),Victory Boxing 2 (Europe),,
Contender 2 (USA),"Victory Boxing Challenger (Europe) (En,Fr,De,Es)",,,
Covert Ops - Nuclear Dawn (USA) (Disc 1),Chase the Express (Europe) (Disc 1),,,
Covert Ops - Nuclear Dawn (USA) (Disc 2),Chase the Express (Europe) (Disc 2),,,
Crash Bandicoot - Warped (USA),"Crash Bandicoot 3 - Warped (Europe) (En,Fr,De,Es,It)",,,
Dance Dance Revolution - Disney Mix (USA),Dancing Stage - Disney Mix (Europe),,,
Dare Devil Derby 3D (USA),"Supersonic Racers (Europe) (En,Fr,De,Es,It)",,,
Darkstone (USA),"Darkstone - Evil Reigns (Europe) (En,Fr,De,Es,It)",,,
Descent Maximum (USA),Descent II (Europe),,,
Digimon World 3 (USA),"Digimon World 2003 (Europe) (En,Fr,De,Es,It)",,,
Discworld II - Mortality Bytes! (USA),"Discworld II - Missing Presumed...! (Europe) (En,Es,It)",,,
Disney Presents Tigger's Honey Hunt (USA) (v1.1),Disney's Tigger's Honey Hunt (Europe),,,
"Disney-Pixar Monsters, Inc. - Scream Team (USA)","Disney-Pixar Monsters, Inc. - Scare Island (Europe)",,,
Disney's Donald Duck - Goin' Quackers (USA),"Disney's Donald Duck - Quack Attack (Europe) (En,Fr,De,It)",,,
Disney's Hercules Action Game (USA) (v1.1),Disney's Action Game featuring Hercules (Europe),,,
Disney's Lilo & Stitch (USA),Disney's Lilo & Stitch - Trouble in Paradise (Europe),,,
Disney's Pooh's Party Game - In Search of the Treasure (USA),Disney's Party Time with Winnie the Pooh (Europe),,,
Dracula - The Last Sanctuary (USA) (Disc 1),Dracula 2 - The Last Sanctuary (Europe) (Disc 1),,,
Dracula - The Last Sanctuary (USA) (Disc 2),Dracula 2 - The Last Sanctuary (Europe) (Disc 2),,,
Dragon Ball GT - Final Bout (USA),Dragon Ball - Final Bout (Europe),,,
Driver - You Are the Wheelman (USA) (v1.1),Driver (Europe),,,
Driver 2 (USA) (Disc 1) (v1.1),Driver 2 - Back on the Streets (Europe) (Disc 1) (v1.1),,,
Driver 2 (USA) (Disc 2) (v1.1),Driver 2 - Back on the Streets (Europe) (Disc 2) (v1.1),,,
Ducati World - Racing Challenge (USA),Ducati World (Europe),,,
Duke Nukem - Total Meltdown (USA),Duke Nukem (Europe),,,
Equestrian Showcase (USA),"Equestriad 2001 (Europe) (En,De,Es)",,,
Expendable (USA),"Millennium Soldier - Expendable (Europe) (En,Fr,De,Es,It)",,,
Family Card Games Fun Pack (USA),Card Shark (Europe),,,
"FIFA 2000 - Major League Soccer (USA) (En,De,Es,Nl,Sv)","FIFA 2000 (Europe) (En,De,Es,Nl,Sv) (v1.1)",,,
"FIFA Soccer 2002 (USA) (En,Es)","FIFA Football 2002 (Europe) (En,De,Es,Nl,Sv)",,,
FIFA Soccer 2003 (USA),"FIFA Football 2003 (Europe) (En,Nl,Sv)",,,
"FIFA Soccer 2004 (USA) (En,Es)","FIFA Football 2004 (Europe) (En,Nl,Sv)",,,
"FIFA Soccer 2005 (USA) (En,Es)","FIFA Football 2005 (Europe) (En,Nl)",,,
FIFA Soccer 97 (USA),"FIFA 97 (Europe) (En,Fr,De,Es,It,Sv)",,,
Final Fantasy Origins (USA) (v1.1),Final Fantasy Origins - Final Fantasy (Europe),,,
Final Fantasy Origins (USA) (v1.1),Final Fantasy Origins - Final Fantasy II (Europe),,,
"Final Round, The (USA)",Konami Open Golf (Europe),,,
