Redump Game Name (Region Dupes),Dupe 1,Dupe 2,Dupe 3,Dupe 4,Dupe 5,Dupe 6,Notes
AC-DC Live - Rock Band Track Pack (USA),"AC-DC Live - Rock Band (Europe) (En,Fr,De,Es,It)",,,,,,
Ace Combat 04 - Shattered Skies (USA),"Ace Combat - Distant Thunder (Europe, Australia) (En,Fr,De,Es,It)",,,,,,
"Ace Combat 5 - The Unsung War (USA) (En,Ja)","Ace Combat - Squadron Leader (Europe, Australia) (En,Fr,De,Es,It)",,,,,,
Ace Combat Zero - The Belkan War (USA),"Ace Combat - The Belkan War (Europe, Australia) (En,Fr,De,Es,It)",,,,,,
"Adventures of Cookie & Cream, The (USA)","Kuri Kuri Mix (Europe) (En,Fr,De)",,,,,,
"Adventures of Darwin, The (USA)",Darwin (Europe),,,,,,
AFL Live 2004 - Aussie Rules Football (Europe),AFL Live 2004 (Australia),,,,,,
AirForce Delta Strike (USA),"Deadly Skies III (Europe) (En,Fr,De,Es,It)",,,,,,
Alarm for Cobra 11 Vol. 2 - Hot Pursuit (Europe),"Alarm for Cobra 11 - Vol. II (Europe) (En,De)",,,,,,
Alfa Romeo Racing Italiano (USA),"SCAR - Squadra Corse Alfa Romeo (Europe) (En,Fr,De,Es,It)",,,,,,
American Idol (USA),Pop Idol (UK),,,,,,
AMF Xtreme Bowling (USA),"AMF Xtreme Bowling 2006 (Europe) (En,Fr,De,Es,It,Nl)",,,,,,
Aqua Aqua (USA),"Aqua Aqua - Wetrix 2 (Europe) (En,Fr,De,Es,It)",,,,,,
Arc the Lad - Twilight of the Spirits (USA),"Arc - Twilight of the Spirits (Europe) (En,Fr,De,Es,It)",,,,,,
Army Men - Air Attack 2 (USA),"Army Men - Air Attack - Blade's Revenge (Europe) (En,Fr,De,Es,It)",,,,,,
"Arthur and the Invisibles - The Game (USA) (En,Fr,Es)","Arthur and the Minimoys (Europe) (En,Fr,De,Es,It,Nl,Sv)",,,,,,
Asterix & Obelix - Kick Buttix (USA),"Asterix & Obelix XXL (Europe) (En,Fr,De,Es,It)",,,,,,
ATV Offroad Fury (USA) (v3.01),"ATV Offroad - All Terrain Vehicle (Europe) (En,Fr,De,Es,It)",,,,,,
Bad Boys - Miami Takedown (USA),Bad Boys II (Europe),,,,,,
Big Mutha Truckers 2 (USA),"Big Mutha Truckers 2 - Truck Me Harder (Europe) (En,Fr,De,Es,It)",,,,,,
